LP,Imię,Nazwisko,Nazwisko Imię,ImieBP,NazwBP,Przełożony,Login,Mail,EmployeeID,Biuro,Wydział,Stanowisko,Firma,Telefon,Miasto,Kraj,Ulica,Budynek,Pomieszenie,Kod,N,E,Obszar,Grupa 1,Grupa2,Grupa3
6,Paweł,Kaczmarek,Kaczmarek Paweł,Pawel,Kaczmarek,Michal.Lewandowski,Pawel.Kaczmarek,Pawel.Kaczmarek@tanibilet.pl,60000006,Biuro Sprzedaży,Wydział Windykacji,Inżynier,Tani Bilet sp. z.o.o.,506-656-991,Olsztyn,Polska,Słoneczna,54,201,10-710,53.74378797308898,20.456546179587995,Północ,grp_Windykacja,,grp_TaniBilet
7,Zofia,Mazur,Mazur Zofia,Zofia,Mazur,Michal.Lewandowski,Zofia.Mazur,Zofia.Mazur@tanibilet.pl,60000007,Biuro Sprzedaży,Wydział Windykacji,Główny Specjalista,Tani Bilet sp. z.o.o.,723-183-344,Olsztyn,Polska,Słoneczna,54,201,10-710,53.74378797308898,20.456546179587995,Północ,grp_Windykacja,grp_Koordynator,grp_TaniBilet
8,Kamil,Krawczyk,Krawczyk Kamil,Kamil,Krawczyk,Michal.Lewandowski,Kamil.Krawczyk,Kamil.Krawczyk@tanibilet.pl,60000008,Biuro Sprzedaży,Wydział Windykacji,Konsultant,Tani Bilet sp. z.o.o.,502-132-370,Olsztyn,Polska,Słoneczna,54,201,10-710,53.74378797308898,20.456546179587995,Północ,grp_Windykacja,,grp_TaniBilet
9,Weronika,Piotrowski,Piotrowski Weronika,Weronika,Piotrowski,Michal.Lewandowski,Weronika.Piotrowski,Weronika.Piotrowski@tanibilet.pl,60000009,Biuro Sprzedaży,Wydział Windykacji,Starszy Specjalista,Tani Bilet sp. z.o.o.,603-769-651,Olsztyn,Polska,Słoneczna,54,202,10-710,53.74378797308898,20.456546179587995,Północ,grp_Windykacja,,grp_TaniBilet
10,Patryk,Sikora,Sikora Patryk,Patryk,Sikora,Michal.Lewandowski,Patryk.Sikora,Patryk.Sikora@tanibilet.pl,60000010,Biuro Sprzedaży,Wydział Windykacji,Informatyk,Tani Bilet sp. z.o.o.,608-135-497,Olsztyn,Polska,Słoneczna,54,202,10-710,53.74378797308898,20.456546179587995,Północ,grp_Windykacja,grp_ServiceDesk,grp_TaniBilet
11,Karolina,Baran,Baran Karolina,Karolina,Baran,Michal.Lewandowski,Karolina.Baran,Karolina.Baran@tanibilet.pl,60000011,Biuro Sprzedaży,Wydział Rozliczeń,Starszy Specjalista,Tani Bilet sp. z.o.o.,607-384-416,Olsztyn,Polska,Słoneczna,54,202,10-710,53.74378797308898,20.456546179587995,Północ,grp_Rozliczenia,,grp_TaniBilet
12,Adam,Rutkowski,Rutkowski Adam,Adam,Rutkowski,Michal.Lewandowski,Adam.Rutkowski,Adam.Rutkowski@tanibilet.pl,60000012,Biuro Sprzedaży,Wydział Rozliczeń,Specjalista,Tani Bilet sp. z.o.o.,615-837-663,Olsztyn,Polska,Słoneczna,54,203,10-710,53.74378797308898,20.456546179587995,Północ,grp_Rozliczenia,,grp_TaniBilet
13,Natalia,Jakubowski,Jakubowski Natalia,Natalia,Jakubowski,Michal.Lewandowski,Natalia.Jakubowski,Natalia.Jakubowski@tanibilet.pl,60000013,Biuro Sprzedaży,Wydział Rozliczeń,Konsultant,Tani Bilet sp. z.o.o.,698-893-443,Olsztyn,Polska,Słoneczna,54,203,10-710,53.74378797308898,20.456546179587995,Północ,grp_Rozliczenia,,grp_TaniBilet
14,Filip,Nowicki,Nowicki Filip,Filip,Nowicki,Michal.Lewandowski,Filip.Nowicki,Filip.Nowicki@tanibilet.pl,60000014,Biuro Sprzedaży,Wydział Rozliczeń,Specjalista,Tani Bilet sp. z.o.o.,678-425-441,Olsztyn,Polska,Słoneczna,54,203,10-710,53.74378797308898,20.456546179587995,Północ,grp_Rozliczenia,,grp_TaniBilet
15,Julia,Wiśniewska,Wiśniewska Julia,Julia,Wisniewska,Michal.Lewandowski,Julia.Wisniewska,Julia.Wisniewska@tanibilet.pl,60000015,Biuro Sprzedaży,Wydział Rozliczeń,Główny Specjalista,Tani Bilet sp. z.o.o.,698-559-613,Olsztyn,Polska,Słoneczna,54,203,10-710,53.74378797308898,20.456546179587995,Północ,grp_Rozliczenia,grp_Koordynator,grp_TaniBilet
16,Jakub,Kwiatkowski,Kwiatkowski Jakub,Jakub,Kwiatkowski,Katarzyna.Kowalczyk,Jakub.Kwiatkowski,Jakub.Kwiatkowski@tanibilet.pl,60000016,Biuro Marketingu,Wydział Reklamy,Konsultant,Tani Bilet sp. z.o.o.,512-945-588,Kraków,Polska,Babinskiego,69,8,30-393,50.006130788123365,19.876640908185077,Południe,grp_Reklama,,grp_TaniBilet
17,Anna,Szymaniak,Szymaniak Anna,Anna,Szymaniak,Katarzyna.Kowalczyk,Anna.Szymaniak,Anna.Szymaniak@tanibilet.pl,60000017,Biuro Marketingu,Wydział Reklamy,Starszy Specjalista,Tani Bilet sp. z.o.o.,519-937-873,Kraków,Polska,Babinskiego,69,8,30-393,50.006130788123365,19.876640908185077,Południe,grp_Reklama,,grp_TaniBilet
18,Adam,Wojcik,Wojcik Adam,Adam,Wojcik,Katarzyna.Kowalczyk,Adam.Wojcik,Adam.Wojcik@tanibilet.pl,60000018,Biuro Marketingu,Wydział Reklamy,Główny Specjalista,Tani Bilet sp. z.o.o.,507-153-984,Kraków,Polska,Babinskiego,69,8,30-393,50.006130788123365,19.876640908185077,Południe,grp_Reklama,grp_Koordynator,grp_TaniBilet
19,Katarzyna,Nowicka,Nowicka Katarzyna,Katarzyna,Nowicka,Katarzyna.Kowalczyk,Katarzyna.Nowicka,Katarzyna.Nowicka@tanibilet.pl,60000019,Biuro Marketingu,Wydział Reklamy,Radca Prawny,Tani Bilet sp. z.o.o.,589-416-104,Kraków,Polska,Babinskiego,69,9,30-393,50.006130788123365,19.876640908185077,Południe,grp_Reklama,,grp_TaniBilet
20,Aleksandra,Kamińska,Kamińska Aleksandra,Aleksandra,Kaminska,Katarzyna.Kowalczyk,Aleksandra.Kaminska,Aleksandra.Kaminska@tanibilet.pl,60000020,Biuro Marketingu,Wydział Reklamy,Starszy Specjalista,Tani Bilet sp. z.o.o.,678-686-386,Kraków,Polska,Babinskiego,69,9,30-393,50.006130788123365,19.876640908185077,Południe,grp_Reklama,,grp_TaniBilet
21,Natalia,Jankowska,Jankowska Natalia,Natalia,Jankowska,Katarzyna.Kowalczyk,Natalia.Jankowska,Natalia.Jankowska@tanibilet.pl,60000021,Biuro Marketingu,Wydział Promocji,Konsultant,Tani Bilet sp. z.o.o.,782-857-403,Kraków,Polska,Babinskiego,69,9,30-393,50.006130788123365,19.876640908185077,Południe,grp_Promocja,,grp_TaniBilet
22,Kamil,Szymański,Szymański Kamil,Kamil,Szymanski,Katarzyna.Kowalczyk,Kamil.Szymanski,Kamil.Szymanski@tanibilet.pl,60000022,Biuro Marketingu,Wydział Promocji,Informatyk,Tani Bilet sp. z.o.o.,743-243-711,Kraków,Polska,Babinskiego,69,10,30-393,50.006130788123365,19.876640908185077,Południe,grp_Promocja,grp_ServiceDesk,grp_TaniBilet
23,Kacper,Pawłowski,Pawłowski Kacper,Kacper,Pawlowski,Katarzyna.Kowalczyk,Kacper.Pawlowski,Kacper.Pawlowski@tanibilet.pl,60000023,Biuro Marketingu,Wydział Promocji,Radca Prawny,Tani Bilet sp. z.o.o.,723-743-717,Kraków,Polska,Babinskiego,69,10,30-393,50.006130788123365,19.876640908185077,Południe,grp_Promocja,,grp_TaniBilet
24,Zofia,Lis,Lis Zofia,Zofia,Lis,Katarzyna.Kowalczyk,Zofia.Lis,Zofia.Lis@tanibilet.pl,60000024,Biuro Marketingu,Wydział Promocji,Konsultant,Tani Bilet sp. z.o.o.,716-475-656,Kraków,Polska,Babinskiego,69,10,30-393,50.006130788123365,19.876640908185077,Południe,grp_Promocja,,grp_TaniBilet
25,Monika,Borowski,Borowski Monika,Monika,Borowski,Katarzyna.Kowalczyk,Monika.Borowski,Monika.Borowski@tanibilet.pl,60000025,Biuro Marketingu,Wydział Promocji,Główny Specjalista,Tani Bilet sp. z.o.o.,764-541-139,Kraków,Polska,Babinskiego,69,10,30-393,50.006130788123365,19.876640908185077,Południe,grp_Promocja,grp_Koordynator,grp_TaniBilet
26,Marcin,Dąbrowski,Dąbrowski Marcin,Marcin,Dabrowski,Jakub.Jankowski,Marcin.Dabrowski,Marcin.Dabrowski@tanibilet.pl,60000026,Biuro Kadr,Wydział Szkoleń,Inżynier,Tani Bilet sp. z.o.o.,728-962-832,Lublin,Polska,Ametystowa,18,103,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Szkolenia,,grp_TaniBilet
27,Oliwia,Kowal,Kowal Oliwia,Oliwia,Kowal,Jakub.Jankowski,Oliwia.Kowal,Oliwia.Kowal@tanibilet.pl,60000027,Biuro Kadr,Wydział Szkoleń,Główny Specjalista,Tani Bilet sp. z.o.o.,791-957-276,Lublin,Polska,Ametystowa,18,103,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Szkolenia,grp_Koordynator,grp_TaniBilet
28,Dominik,Jabłoński,Jabłoński Dominik,Dominik,Jablonski,Jakub.Jankowski,Dominik.Jablonski,Dominik.Jablonski@tanibilet.pl,60000028,Biuro Kadr,Wydział Szkoleń,Kierowca,Tani Bilet sp. z.o.o.,672-730-838,Lublin,Polska,Ametystowa,18,103,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Szkolenia,,grp_TaniBilet
29,Karolina,Kaczmarczyk,Kaczmarczyk Karolina,Karolina,Kaczmarczyk,Jakub.Jankowski,Karolina.Kaczmarczyk,Karolina.Kaczmarczyk@tanibilet.pl,60000029,Biuro Kadr,Wydział Szkoleń,Konsultant,Tani Bilet sp. z.o.o.,613-124-582,Lublin,Polska,Ametystowa,18,104,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Szkolenia,,grp_TaniBilet
30,Szymon,Wilk,Wilk Szymon,Szymon,Wilk,Jakub.Jankowski,Szymon.Wilk,Szymon.Wilk@tanibilet.pl,60000030,Biuro Kadr,Wydział Szkoleń,Radca Prawny,Tani Bilet sp. z.o.o.,725-177-647,Lublin,Polska,Ametystowa,18,104,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Szkolenia,,grp_TaniBilet
31,Marta,Zajac,Zajac Marta,Marta,Zajac,Jakub.Jankowski,Marta.Zajac,Marta.Zajac@tanibilet.pl,60000031,Biuro Kadr,Wydział Personalny,Główny Specjalista,Tani Bilet sp. z.o.o.,501-613-986,Lublin,Polska,Ametystowa,18,104,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Personalny,grp_Koordynator,grp_TaniBilet
32,Filip,Nowakowski,Nowakowski Filip,Filip,Nowakowski,Jakub.Jankowski,Filip.Nowakowski,Filip.Nowakowski@tanibilet.pl,60000032,Biuro Kadr,Wydział Personalny,Specjalista,Tani Bilet sp. z.o.o.,502-633-180,Lublin,Polska,Ametystowa,18,104,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Personalny,,grp_TaniBilet
33,Agata,Sawicka,Sawicka Agata,Agata,Sawicka,Jakub.Jankowski,Agata.Sawicka,Agata.Sawicka@tanibilet.pl,60000033,Biuro Kadr,Wydział Personalny,Starszy Specjalista,Tani Bilet sp. z.o.o.,501-291-996,Lublin,Polska,Ametystowa,18,105,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Personalny,,grp_TaniBilet
34,Wiktoria,Mazurek,Mazurek Wiktoria,Wiktoria,Mazurek,Jakub.Jankowski,Wiktoria.Mazurek,Wiktoria.Mazurek@tanibilet.pl,60000034,Biuro Kadr,Wydział Personalny,Mechanik,Tani Bilet sp. z.o.o.,504-565-439,Lublin,Polska,Ametystowa,18,105,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Personalny,,grp_TaniBilet
35,Gabriel,Jaworski,Jaworski Gabriel,Gabriel,Jaworski,Jakub.Jankowski,Gabriel.Jaworski,Gabriel.Jaworski@tanibilet.pl,60000035,Biuro Kadr,Wydział Personalny,Konsultant,Tani Bilet sp. z.o.o.,503-989-514,Lublin,Polska,Ametystowa,18,105,20-577,51.22153818703002,22.510440189043038,Wschód,grp_Personalny,,grp_TaniBilet
36,Nina,Piotrowska,Piotrowska Nina,Nina,Piotrowska,Michal.Wojciechowski,Nina.Piotrowska,Nina.Piotrowska@tanibilet.pl,60000036,Biuro Utrzymania,Wydział Napraw,Główny Specjalista,Tani Bilet sp. z.o.o.,508-614-310,Wrocław,Polska,Generała Józefa Bema,2,703,50-265,51.11782536956,17.041772018966643,Zachód,grp_Naprawy,grp_Koordynator,grp_TaniBilet
37,Justyna,Urbanska,Urbanska Justyna,Justyna,Urbanska,Michal.Wojciechowski,Justyna.Urbanska,Justyna.Urbanska@tanibilet.pl,60000037,Biuro Utrzymania,Wydział Napraw,Architekt,Tani Bilet sp. z.o.o.,506-656-257,Wrocław,Polska,Generała Józefa Bema,2,705,50-265,51.11782536956,17.041772018966643,Zachód,grp_Naprawy,,grp_TaniBilet
38,Mikolaj,Grabowski,Grabowski Mikolaj,Mikolaj,Grabowski,Michal.Wojciechowski,Mikolaj.Grabowski,Mikolaj.Grabowski@tanibilet.pl,60000038,Biuro Utrzymania,Wydział Napraw,Inżynier,Tani Bilet sp. z.o.o.,514-181-616,Wrocław,Polska,Generała Józefa Bema,2,705,50-265,51.11782536956,17.041772018966643,Zachód,grp_Naprawy,,grp_TaniBilet
39,Weronika,Chmielewska,Chmielewska Weronika,Weronika,Chmielewska,Michal.Wojciechowski,Weronika.Chmielewska,Weronika.Chmielewska@tanibilet.pl,60000039,Biuro Utrzymania,Wydział Napraw,Inżynier,Tani Bilet sp. z.o.o.,572-401-240,Wrocław,Polska,Generała Józefa Bema,2,705,50-265,51.11782536956,17.041772018966643,Zachód,grp_Naprawy,,grp_TaniBilet
40,Martyna,Adamczyk,Adamczyk Martyna,Martyna,Adamczyk,Michal.Wojciechowski,Martyna.Adamczyk,Martyna.Adamczyk@tanibilet.pl,60000040,Biuro Utrzymania,Wydział Napraw,Informatyk,Tani Bilet sp. z.o.o.,504-918-762,Wrocław,Polska,Generała Józefa Bema,2,705,50-265,51.11782536956,17.041772018966643,Zachód,grp_Naprawy,grp_ServiceDesk,grp_TaniBilet
41,Nikola,Łukasiewicz,Łukasiewicz Nikola,Nikola,Lukasiewicz,Michal.Wojciechowski,Nikola.Lukasiewicz,Nikola.Lukasiewicz@tanibilet.pl,60000041,Biuro Utrzymania,Wydział Napraw,Starszy Specjalista,Tani Bilet sp. z.o.o.,506-181-649,Wrocław,Polska,Generała Józefa Bema,2,707,50-265,51.11782536956,17.041772018966643,Zachód,grp_Naprawy,,grp_TaniBilet
42,Aleksander,Szczepański,Szczepański Aleksander,Aleksander,Szczepanski,Michal.Wojciechowski,Aleksander.Szczepans,Aleksander.Szczepanski@tanibilet.pl,60000042,Biuro Utrzymania,Wydział Przeglądów,Główny Specjalista,Tani Bilet sp. z.o.o.,723-630-887,Wrocław,Polska,Generała Józefa Bema,2,707,50-265,51.11782536956,17.041772018966643,Zachód,grp_Przeglądy,grp_Koordynator,grp_TaniBilet
43,Natalia,Wroblewska,Wroblewska Natalia,Natalia,Wroblewska,Michal.Wojciechowski,Natalia.Wroblewska,Natalia.Wroblewska@tanibilet.pl,60000043,Biuro Utrzymania,Wydział Przeglądów,Radca Prawny,Tani Bilet sp. z.o.o.,502-571-139,Wrocław,Polska,Generała Józefa Bema,2,707,50-265,51.11782536956,17.041772018966643,Zachód,grp_Przeglądy,,grp_TaniBilet
44,Michal,Kaczyński,Kaczyński Michal,Michal,Kaczynski,Michal.Wojciechowski,Michal.Kaczynski,Michal.Kaczynski@tanibilet.pl,60000044,Biuro Utrzymania,Wydział Przeglądów,Inżynier,Tani Bilet sp. z.o.o.,603-220-729,Wrocław,Polska,Generała Józefa Bema,2,710,50-265,51.11782536956,17.041772018966643,Zachód,grp_Przeglądy,,grp_TaniBilet
45,Dominika,Górska,Górska Dominika,Dominika,Gorska,Michal.Wojciechowski,Dominika.Gorska,Dominika.Gorska@tanibilet.pl,60000045,Biuro Utrzymania,Wydział Przeglądów,Inżynier,Tani Bilet sp. z.o.o.,608-422-974,Wrocław,Polska,Generała Józefa Bema,2,710,50-265,51.11782536956,17.041772018966643,Zachód,grp_Przeglądy,,grp_TaniBilet
46,Kornelia,Walczak,Walczak Kornelia,Kornelia,Walczak,Kamila.Iwon,Kornelia.Walczak,Kornelia.Walczak@sprawnaprzesylka.pl,70000001,Zarząd,Zarząd,Prezes,Sprawna przesyłka sp. z o.o.,607-416-229,Olsztyn,Polska,Słoneczna,54,401,10-710,53.74378797308898,20.456546179587995,Północ,grp_Zarząd,grp_Menadżerowie,grp_SprawnaPrzesyłka
47,Tymon,Michalski,Michalski Tymon,Tymon,Michalski,Kornelia.Walczak,Tymon.Michalski,Tymon.Michalski@sprawnaprzesylka.pl,70000002,Biuro Spedycji,Biuro Spedycji,Dyrektor Regionalny,Sprawna przesyłka sp. z o.o.,615-199-792,Olsztyn,Polska,Słoneczna,54,402,10-710,53.74378797308898,20.456546179587995,Północ,grp_DyrReg_SprPrze,grp_Menadżerowie,grp_SprawnaPrzesyłka
48,Wiktoria,Szczepanik,Szczepanik Wiktoria,Wiktoria,Szczepanik,Kornelia.Walczak,Wiktoria.Szczepanik,Wiktoria.Szczepanik@sprawnaprzesylka.pl,70000003,Biuro Sprzedaży,Biuro Sprzedaży,Dyrektor Regionalny,Sprawna przesyłka sp. z o.o.,698-155-844,Katowice,Polska,Bankowa,12,315,40-007,50.2607496996333,19.02823440663506,Południe,grp_DyrReg_SprPrze,grp_Menadżerowie,grp_SprawnaPrzesyłka
49,Michal,Wieczorek,Wieczorek Michal,Michal,Wieczorek,Kornelia.Walczak,Michal.Wieczorek,Michal.Wieczorek@sprawnaprzesylka.pl,70000004,Biuro Finansów,Biuro Finansów,Dyrektor Regionalny,Sprawna przesyłka sp. z o.o.,678-893-772,Białystok,Polska,Adama Mickiewicza,1,11,15-213,53.12878109584308,23.16915235659272,Wschód,grp_DyrReg_SprPrze,grp_Menadżerowie,grp_SprawnaPrzesyłka
50,Julia,Wawrzyniak,Wawrzyniak Julia,Julia,Wawrzyniak,Kornelia.Walczak,Julia.Wawrzyniak,Julia.Wawrzyniak@sprawnaprzesylka.pl,70000005,Biuro Eksploatacji,Biuro Eksploatacji,Dyrektor Regionalny,Sprawna przesyłka sp. z o.o.,698-432-345,Zielona Góra,Polska,Długa,5,412,65-401,51.93625498000136,15.49858508885172,Zachód,grp_DyrReg_SprPrze,grp_Menadżerowie,grp_SprawnaPrzesyłka
51,Patrycja,Kowalska,Kowalska Patrycja,Patrycja,Kowalska,Tymon.Michalski,Patrycja.Kowalska,Patrycja.Kowalska@sprawnaprzesylka.pl,70000006,Biuro Spedycji,Wydział Przewozów,Konsultant,Sprawna przesyłka sp. z o.o.,512-751-706,Olsztyn,Polska,Słoneczna,54,403,10-710,53.74378797308898,20.456546179587995,Północ,grp_Przewozy,,grp_SprawnaPrzesyłka
52,Karolina,Szymańska,Szymańska Karolina,Karolina,Szymanska,Tymon.Michalski,Karolina.Szymanska,Karolina.Szymanska@sprawnaprzesylka.pl,70000007,Biuro Spedycji,Wydział Przewozów,Mechanik,Sprawna przesyłka sp. z o.o.,519-724-756,Olsztyn,Polska,Słoneczna,54,403,10-710,53.74378797308898,20.456546179587995,Północ,grp_Przewozy,,grp_SprawnaPrzesyłka
53,Bartosz,Łukasik,Łukasik Bartosz,Bartosz,Lukasik,Tymon.Michalski,Bartosz.Lukasik,Bartosz.Lukasik@sprawnaprzesylka.pl,70000008,Biuro Spedycji,Wydział Przewozów,Informatyk,Sprawna przesyłka sp. z o.o.,507-650-882,Olsztyn,Polska,Słoneczna,54,403,10-710,53.74378797308898,20.456546179587995,Północ,grp_Przewozy,grp_ServiceDesk,grp_SprawnaPrzesyłka
54,Martyna,Pawłowska,Pawłowska Martyna,Martyna,Pawlowska,Tymon.Michalski,Martyna.Pawlowska,Martyna.Pawlowska@sprawnaprzesylka.pl,70000009,Biuro Spedycji,Wydział Przewozów,Kierowca,Sprawna przesyłka sp. z o.o.,589-131-660,Olsztyn,Polska,Słoneczna,54,403,10-710,53.74378797308898,20.456546179587995,Północ,grp_Przewozy,,grp_SprawnaPrzesyłka
55,Karolina,Łakąs,Łakąs Karolina,Karolina,Lakas,Tymon.Michalski,Karolina.Lakas,Karolina.Lakas@sprawnaprzesylka.pl,70000010,Biuro Spedycji,Wydział Przewozów,Główny Specjalista,Sprawna przesyłka sp. z o.o.,678-257-229,Olsztyn,Polska,Słoneczna,54,404,10-710,53.74378797308898,20.456546179587995,Północ,grp_Przewozy,grp_Koordynator,grp_SprawnaPrzesyłka
56,Agata,Grabowska,Grabowska Agata,Agata,Grabowska,Tymon.Michalski,Agata.Grabowska,Agata.Grabowska@sprawnaprzesylka.pl,70000011,Biuro Spedycji,Wydział Utrzymania,Inżynier,Sprawna przesyłka sp. z o.o.,782-551-219,Olsztyn,Polska,Słoneczna,54,404,10-710,53.74378797308898,20.456546179587995,Północ,grp_Utrzymanie,,grp_SprawnaPrzesyłka
57,Zuzanna,Witkowska,Witkowska Zuzanna,Zuzanna,Witkowska,Tymon.Michalski,Zuzanna.Witkowska,Zuzanna.Witkowska@sprawnaprzesylka.pl,70000012,Biuro Spedycji,Wydział Utrzymania,Kierowca,Sprawna przesyłka sp. z o.o.,743-976-839,Olsztyn,Polska,Słoneczna,54,404,10-710,53.74378797308898,20.456546179587995,Północ,grp_Utrzymanie,,grp_SprawnaPrzesyłka
58,Natalia,Lewandowska,Lewandowska Natalia,Natalia,Lewandowska,Tymon.Michalski,Natalia.Lewandowska,Natalia.Lewandowska@sprawnaprzesylka.pl,70000013,Biuro Spedycji,Wydział Utrzymania,Konsultant,Sprawna przesyłka sp. z o.o.,723-890-749,Olsztyn,Polska,Słoneczna,54,404,10-710,53.74378797308898,20.456546179587995,Północ,grp_Utrzymanie,,grp_SprawnaPrzesyłka
59,Maciej,Kamiński,Kamiński Maciej,Maciej,Kaminski,Tymon.Michalski,Maciej.Kaminski,Maciej.Kaminski@sprawnaprzesylka.pl,70000014,Biuro Spedycji,Wydział Utrzymania,Główny Specjalista,Sprawna przesyłka sp. z o.o.,716-382-186,Olsztyn,Polska,Słoneczna,54,405,10-710,53.74378797308898,20.456546179587995,Północ,grp_Utrzymanie,grp_Koordynator,grp_SprawnaPrzesyłka
60,Marcin,Wiśniewski,Wiśniewski Marcin,Marcin,Wisniewski,Tymon.Michalski,Marcin.Wisniewski,Marcin.Wisniewski@sprawnaprzesylka.pl,70000015,Biuro Spedycji,Wydział Utrzymania,Kierowca,Sprawna przesyłka sp. z o.o.,764-791-132,Olsztyn,Polska,Słoneczna,54,405,10-710,53.74378797308898,20.456546179587995,Północ,grp_Utrzymanie,,grp_SprawnaPrzesyłka
61,Igor,Kowalski,Kowalski Igor,Igor,Kowalski,Tymon.Michalski,Igor.Kowalski,Igor.Kowalski@sprawnaprzesylka.pl,70000016,Biuro Spedycji,Wydział Utrzymania,Konsultant,Sprawna przesyłka sp. z o.o.,728-375-507,Olsztyn,Polska,Słoneczna,54,405,10-710,53.74378797308898,20.456546179587995,Północ,grp_Utrzymanie,,grp_SprawnaPrzesyłka
